SR  LOCATIONS,,BEDS
"",,
Islamabad,,
"",,
1. Hajji Camp,,300
"",,
2. Pak-China Friendship Centre,,50
"",,
Total,,350
"",,
Balochistan,,
"",,
"1. Turkish Colony, District Jaffarabad",,50
"",,
"2. Midwifery School, District Naseerabad",,50
"",,
3. DHQ Hospital Kachi,,50
"",,
"4. Boys Highschool Gandawah, District Jhal Magsi",,50
"",,
"5. Boys Highschool Digri, District Sohbatpur",,50
"",,
"6. Sheikh Khalif Bin Zayed Hospital, District Quetta",,56
"",,
"7. Gynae & General Private Hospital, District Quetta",,24
"",,
8. Customs House Taftan,,17
"",,
9. Taftan Quarantine,,"4,950"
"",,
10. PCSIR Laboratory Compound,,600
"",,
Total,,"5,897"
"",,
Khyber Pakhtunkhwa,,
"",,
"1. Landi Kotal, District Khyber",,102
"",,
"2. Darazinda, District Dera Ismail Khan",,200
"",,
3. Peshawar,,500
"",,
"4. Gomal Medical College, District Dera Ismail Khan",,200
"",,
"5. RHC Dassu, District Kohistan",,2
"",,
"6. RHC Shetyal, District Kohistan",,2
"",,
"7. GHSS Boys, District Mohmand",,20
"",,
"8. GHS Ekkaghund, District Mohmand",,30
"",,
"9. Hostel Bahai Daag AC Complex, District Mohmand",,20
"",,
"10. DHQ Hospital Nursing Hostel, District Bajaur",,30
"",,
"11. Type D Hospital Nawagai, District Bajaur",,30
"",,
"12. Type D Hospital Larkhalozo, District Bajaur",,60
"",,
"13. Post Graduate College, District Bajaur",,50
"",,
"14. Degree College Nawagai, District Bajaur",,50
"",,
"15. Degree College Barkhalozo, District Bajaur",,50
"",,
"16. Bachelor Hostel Daag Qilla, District Bajaur",,20
"",,
"17. BHU Dehrakai, District Bajaur",,10
"",,
"18. RHC Arang, District Bajaur",,10
"",,
"19. GHS Khar No-2, District Bajaur",,20
"",,
"20. Govt. Degree College Wari, District Dir Upper",,55
"",,
"21. Govt. Degree College, District Dir Upper",,35
"",,
"22. Govt. Technical College, District Nowshera",,50
"",,
"23. Govt. Post Graduate College, District Nowshera",,100
"",,
"24. GHSS Khairabad, District Nowshera",,20
"",,
"25. GHSS Taru Jabba/ UET Jalozai, District Nowshera",,483
"",,
"26. GHSS Rashakai, District Nowshera",,20
1.,"Landi Kotal, District Khyber",102
"",,
2.,"Darazinda, District Dera Ismail Khan",200
"",,
3.,Peshawar,500
"",,
4.,"Gomal Medical College, District Dera Ismail Khan",200
"",,
5.,"RHC Dassu, District Kohistan",2
"",,
6.,"RHC Shetyal, District Kohistan",2
"",,
7.,"GHSS Boys, District Mohmand",20
"",,
8.,"GHS Ekkaghund, District Mohmand",30
"",,
9.,"Hostel Bahai Daag AC Complex, District Mohmand",20
"",,
10.,"DHQ Hospital Nursing Hostel, District Bajaur",30
"",,
11.,"Type D Hospital Nawagai, District Bajaur",30
"",,
12.,"Type D Hospital Larkhalozo, District Bajaur",60
"",,
13.,"Post Graduate College, District Bajaur",50
"",,
14.,"Degree College Nawagai, District Bajaur",50
"",,
15.,"Degree College Barkhalozo, District Bajaur",50
"",,
16.,"Bachelor Hostel Daag Qilla, District Bajaur",20
"",,
17.,"BHU Dehrakai, District Bajaur",10
"",,
18.,"RHC Arang, District Bajaur",10
"",,
19.,"GHS Khar No-2, District Bajaur",20
"",,
20.,"Govt. Degree College Wari, District Dir Upper",55
"",,
21.,"Govt. Degree College, District Dir Upper",35
"",,
22.,"Govt. Technical College, District Nowshera",50
"",,
23.,"Govt. Post Graduate College, District Nowshera",100
"",,
24.,"GHSS Khairabad, District Nowshera",20
"",,
25.,"GHSS Taru Jabba/ UET Jalozai, District Nowshera",483
"",,
26.,"GHSS Rashakai, District Nowshera",20
"27. Govt. College Akora Khattak, District Nowshera",,50
"",,
"28. GHSS Khesgi, District Nowshera",,20
"",,
29. DHQ Bannu,,18
"",,
"30. RHC Ghoriwala, District Bannu",,21
"",,
"31. RHC Domel, District Bannu",,10
"",,
"32. Type D Hospital Kakki, District Bannu",,10
"",,
"33. Type D Hospital Jani Khel, District Bannu",,20
"",,
"34. GPS Mandraza (POE), District Kohistan Lower",,5
"",,
"35. THQ Pattan, District Kohistan Lower",,23
"",,
"36. GHS Chakai, District Kohistan Lower",,10
"",,
"37. RHC Ranolia, District Kohistan Lower",,4
"",,
"38. Type-B BHU Daurmera, District Torghar",,2
"",,
"39. Type-B BHU Kandar, District Torghar",,2
"",,
"40. Type-B BHU Mera M.K, District Torghar",,2
"",,
"41. Type-B BHU Shagal, District Torghar",,2
"",,
"42. Bachelor Hostel Kandar, District Torghar",,20
"",,
"43. Ayub Teaching Hospital, District Abbottabad",,24
"",,
44. BBST(DHQ) Hospital Abbottabad,,52
"",,
"45. Sports Hostel, Kunj Football Ground, District Abbottabad",,100
"",,
46. Shelter Home Social Welfare Office Building Abbottabad,,28
"",,
47. DHQ Karak,,20
"",,
"48. Type-D Hospital T/Nasrati, District Karak",,10
"",,
"49. THQ Hospital B.D. Shah, District Karak",,8
"",,
"50. THQ Hospital Sabir Abad, District Karak",,8
"",,
"51. Doctor Hostel Building (rooms), District Buner",,72
"",,
52. DHQ Hospital Lakki Marwat,,50
"",,
Total,,"2,760"
"",,
Punjab,,
"",,
"1. Ghazi University, District Dera Ghazi Khan",,"1,740"
"",,
"2. Islamia University, District Bahawalpur",,"2,000"
"",,
3. Lahore,,"1,708"
"",,
4. Sialkot,,812
"",,
5. Multan,,"1,836"
"",,
6. Faisalabad,,"2,852"
"",,
Total,,"10,948"
"",,
Sindh,,
"",,
1. Sukkur Labour Colony,,"2,000"
"",,
2. Karachi Doaba Hospital,,100
"",,
Total,,"2,100"
"",,
Azad Jammu & Kashmir,,
"",,
"1. College of Medical Technology (CMT) Hostel, Mirpur",,100
"",,
"2. Chinese Camp at Khunbanway, Muzaffarabad",,350
"",,
"3. Block D at District Complex, Rawalakot (Poonch)",,40
"",,
4. Poonch University Hostel,,40
"",,
Total,,530
"",,
Gilgit Baltistan,,
1.,Combined Military Hospital (CMH) Skardu,57
"",,
2.,"Muhammadabad Civil Hospital, Gilgit",15
"",,
3.,"Ice Cap Hotel, Gilgit",10
"",,
4.,"Capital Lodge Hotel, Gilgit",70
"",,
5.,"Dreamworld Hotel, Gilgit",46
"",,
6.,"Fida Hotel Chalt, Nagar",15
"",,
7.,"Hikal Hotel Jaffarabad, Nagar",7
"",,
8.,"Edan View Hotel Qasimabad, Nagar",7
"",,
9.,"Odasy Hotel Gulmit, Nagar",10
"",,
10.,"Rakaposhi Front Place Jaffarabad, Nagar",10
"",,
11.,"Mashabroom, Skardu",56
"",,
12.,"Sadpara, Skardu",22
"",,
13.,"Baltistan Resort, Skardu",20
"",,
14.,"Serene Baltistan, Skardu",6
"",,
15.,"Baltistan Continental Hotel, Skardu",23
"",,
16.,"Village Guesthouse, Skardu",3
"",,
17.,"Snowland, Skardu",18
"",,
18.,"Summaith Hotel, Skardu",23
"",,
19.,"Hotel One, Skardu",23
"",,
20.,"Grandview, Skardu",10
"",,
21.,"Tibbat Motel, Skardu",26
"",,
22.,"Shalimar, Skardu",7
"",,
23.,"Ghazalee Guesthouse, Skardu",4
"",,
24.,"Kachora Continental, Skardu",10
"",,
25.,"Other Guesthouse, Skardu",21
"",,
26.,"Ghazi Hotel, Skardu",4
"",,
27.,"Upper Lake Guesthouse, Skardu",3
"",,
28.,"Khadim Hotel, Skardu",2
"",,
29.,"Lakeview Hotel, Skardu",2
"",,
30.,"Shaheen Guesthouse, Skardu",2
"",,
31.,"Superstar Hotel, Skardu",6
"",,
32.,"Kachura Guesthouse, Skardu",3
"",,
33.,"Green One Hotel, Skardu",4
"",,
34.,"Shangrila Resort, Skardu",70
"",,
35.,"Karakorum Inn, Skardu",31
"",,
36.,"Kashmir Inn, Skardu",8
"",,
37.,"Paradise Hotel, Skardu",14
"",,
38.,"Kamal Palace, Skardu",10
"",,
39.,"Rehman Hotel, Skardu",10
"",,
40.,"Indus Motel, Skardu",18
"",,
41.,"Ansar Hotel, Skardu",14
"",,
42.,"Baltistan Mountain Hall, Skardu",10
"",,
43.,"PTDC, Skardu",20
"",,
44.,"Concordia Motel, Skardu",25
"",,
45.,"Baltistan Continental, Skardu",20
"",,
46.,"Mountain Lodge, Skardu",10
"47. Serena, Shigar",,20
"",,
"48. Riverview, Shigar",,12
"",,
"49. Space, Shigar",,18
"",,
"50. Kakuram Lodge, Ghanche",,18
"",,
"51. Taj Mohel, Ghanche",,2
"",,
"",,
"53. Chiqchan Palace, Ghanche",,4
"",,
"54. K-2 Hotel, Ghanche",,12
"",,
"55. Shyoke Hotel, Ghanche",,4
"",,
"",,
"",,
"",,
"59. Staling, Kharmang",,15
"",,
"",,
"61. Qazburg Thang (2), Kharmang",,8
"",,
"62. Reserve Camp, Kharmang",,11
"",,
"63. Lahore Qalandar Hotel, Astore",,17
"",,
Total,,972
"",,
GRAND TOTAL,,"23,557"
